Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
14113-005,1,15-Oct-15,"Trip Report - Project Planning Meeting -SOCOM UTB, St Petersburg, FL, 8-9 October 2015",BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Travel\Trip Reports\Trip_Report-Project_Planning_Meeting-8Oct15.docx,
14113-006,0.1,20-Nov-15,SOCOM - Mission-Driven Data Managenment System (MDMS) - System Architecture Document (SAD),BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Architecture Document\SOCOM_MDMS_SAD_v0.1_20151120.pdf,
14113-006,0.2,30-Nov-15,SOCOM - Mission-Driven Data Managenment System (MDMS) - System Architecture Document (SAD),BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Architecture Document\Releases\SOCOM_MDMS_SAD_v0.2_20151130.pdf,
14113-006,1,30-Nov-15,SOCOM - Mission-Driven Data Managenment System (MDMS) - System Architecture Document (SAD),BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Architecture Document\Releases\SOCOM_MDMS_SAD_v1.0_20151130.pdf,
14113-007,1,05-Nov-15,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for October 2015,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2015_10-31\body.book,
14113-008,0.1,19-Nov-15,Mission-Driven Data Management System (MDMS) Draft Test and Evaluation Master Plan (TEMP),BG/CIC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\testing_docs\Test_and_Evaluation_Master_Plan\0atp.book,
14113-009,0.1,20-Nov-15,Mission-Driven Data Management System (MDMS) Program Backlog,BG/LB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Program Backlog\20151117-Backlogs.xlsx,
14113-009,1,20-Nov-15,Mission-Driven Data Management System (MDMS) Program Backlog,BG/LB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Program Backlog\20151120-MDMS_Backlogs-1.0.xlsx,
14113-009,1.1,11-Dec-15,Mission-Driven Data Management System (MDMS) Program Backlog,BG/LB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Program Backlog\20151211-MDMS_Backlogs-1.1.xlsx,
14113-010,0.1,19-Nov-15,Mission-Driven Data Management System (MDMS) - System Test Procedures,BG/CIC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\testing_docs\System_Test_Procedures\Releases\SOCOM_MDMS_STP_v0.1_20151119.pdf,
14113-010,0.2,27-Nov-15,Mission-Driven Data Management System (MDMS) - System Test Procedures,BG/CIC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\testing_docs\System_Test_Procedures\Releases\SOCOM_MDMS_STP_v0.2_20151127.pdf,
14113-010,1,30-Nov-15,Mission-Driven Data Management System (MDMS) - System Test Procedures,BG/CIC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\testing_docs\System_Test_Procedures\Releases\SOCOM_MDMS_STP_v1.0_20151130.pdf,
14113-011,1,02-Dec-15,SOCOM Mission-Driven Data Management System (MDMS) - Report for November 2015,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2015_11-30\body.book,
14113-012,1,17-Dec-15,Slides - MDMS/GO Mobile Development Meeting,BG/LB/RC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\,
14113-013,1,05-Jan-16,SOCOM Mission-Driven Data Management System (MDMS) - Report for December 2015,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2015_12-31\body.book,
14113-014,1,05-Feb-16,SOCOM Mission-Driven Data Management System (MDMS) - Report for January 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_01-31\body.book,
14113-015,1,04-Mar-16,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for February 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_02-29\body.book,
14113-016,1,15-Mar-16,MDMS Interim Program Review and System Demo,BOR/BG/LB/RB/CAC/RC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160315-Interim_Program_Review_and_System_Demo\MDMS_Interim_Program_Review_and_System_Demo_20160315.pptx,
14113-017,1,?? Apr 16,SOCOM Mission-Driven Data Managenment System (MDMS) Cloud Deployment and Hosting - Proposal,WE/BG/LB/BOR,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\0_Quotes\01_MDMS_Cloud_Deployment\body.book,
14113-018,1,07-Apr-16,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for March 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_03-31\body.book,
14113-019,1,06-May-16,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for April 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_04-30\body.book,
14113-020,1,01-Jun-16,GO ISP Release 3 System Demonstration and Retrospective Meeting,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160601_R3_Demo&Retro_UTB \20160601_R3_Deno&Retro_UTB.pptx,
14113-021,1,07-Jun-16,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for May 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_05-31\body.book,
14113-022,1,,GO ISP Release 4 Planning Meeting,BOR,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160613_R4_Planning_Session\Archive\Release_4_Planning_Meeting.pptx,
14113-023,1,21-Jun-16,SOCOM Mission-Driven Data Management System (MDMS) - Incident Report for 15 April 2016 Intrusion,RB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Incident_Reports\1-Computer_hacked\body.book,
14113-024,1,05-Jul-16,SOCOM Mission-Driven Data Managenment System (MDMS) - Report for June 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_06-01\body.book,
14113-025,1,25-Jul-16,GO ISP Tag-Up Meeting - Slides,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160725_GO_ISP_Tag-Up\GO_ISP_Tag-Up_20160725.pptx,
14113-026,1,03-Aug-16,GO ISP Release 4 Demo & Retrospective - Slides,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160803_R4_Demo&Retro \20160803_R4_Deno&Retro.pptx,
14113-027,1,05-Aug-16,SOCOM GO ISP - Report for July 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_07-31\body.book,
14113-028,1,18-Aug-16,Technical Exchange Meeting Slides,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20160818_TEM.pptx,
14113-029,1,30-Aug-16,GOISP - Route Capture Flow Mockups,LB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Presentations\20160830-Route_Capture_Flow_Mockups.pptx,
14113-030,1,30-Aug-16,GO ISP Release Planning,LB,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Presentations\20160830-GOISP_Release_Planning.pptx,
14113-031,1,07-Sep-16,SOCOM GO ISP - Report for August 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_08-31\body.book,
14113-032,1,30-Aug-16,GO ISP Release 5 Test Plan,DY,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\testing_docs\TestPlan\20160830-GOISP_Test_Plan.pptx,
14113-033,x.0,19-Sep-16,Slides for SOCOM Weekly Tag-Up (living document),BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\,
14113-034,1,03-Oct-16,SOCOM GO ISP - Report for September 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_09-30\body.book,
14113-035,1,12-Oct-16,SOCOM GO ISP Release 5 Demonstration & Retrospective,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20161012_R5_Demo&Retro.pptx,
14113-036,1,27-Oct-16,SOCOM GO ISP Tag-Up,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20161027_Tag-Up\20161027_Tag-Up.pptx,
14113-037,1,08-Nov-16,SOCOM GO ISP - Report for October 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_10-31\body.book,
14113-038,1,06-Dec-16,SOCOM GO ISP - Report for November 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_11-30\body.book,
14113-039,1,03-Jan-17,SOCOM GO ISP - Release Report for Release 6,RC/BG,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R6\Release Report\doc.book,
14113-040,1,03-Jan-17,SOCOM GO ISP - User’s Guide,LL,BG/BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\User's Guide\releases\SOCOM_GO_ISP_Users_Guide_v1.0.pdf,
14113-040,2,17-Jul-17,SOCOM GO ISP - User’s Guide,RR/LL,AM/LL,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\User's Guide\releases\SOCOM_GO_ISP_Users_Guide_v2.0.pdf,
14113-041,1,12-Dec-16,GO ISP R6 Status Presentation,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20161212_R6_Status.pptx,
14113-042,1,04-Jan-17,GO ISP R6 Demonstration & Retrospective,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20170104\20170104_R6_Demo&Retro.pptx,
14113-043,1,12-Jan-17,SOCOM GO ISP - Report for December 2016,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2016_12-31\body.book,
14113-044,1,31-Jan-17,GO ISP Project Status Update,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20170131\20170131_Project_Status_Update.pptx,
14113-045,1,30-Jan-17,WES Installation Guide (GO ISP),RC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Install_Guide\???.book,
14113-045,2,30-Jan-17,WES Installation Guide for Release 12.4.1 (GO ISP),RC,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Install_Guide\MDMS\Releases\WES_12.4.1_Install_Guide_v2.0_GO_ISP.pdf,
14113-045,3,09-Mar-17,WES Installation Guide for GO ISP,RR,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Install_Guide\MDMS\Releases\SOCOM_GO_ISP_Install_Guide_v3.0.pdf,
14113-046,1,07-Feb-17,SOCOM GO ISP - Report for January 2017,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_01-31\body.book,
14113-047,1,28-Feb-17,GO ISP Project Status Update,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Meetings\20170131\20170228_Project_Status_Update.pptx,
14113-048,1,03-Mar-17,SOCOM GO ISP - Report for February 2017,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_02-28\body.book,
14113-049,1,13-Mar-17,SOCOM GO ISP - Release Report for Release 7,RC/BG,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R7\Release Report\doc.book,
14113-050,1,09-Mar-17,GO ISP R7 Demonstration & Retrospective,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R7\Demo&Retro\20170315_R7_Demo&Retro.pptx,
14113-051,1,07-Apr-17,SOCOM GO ISP - Report for March 2017,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_03-31\body.book,
14113-052,1,02-May-17,SOCOM GO ISP - Report for April 2017,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_04-30\body.book,
14113-053,1,24-May-17,GO ISP R8 Demonstration & Retrospective,BG,,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R8\Demo&Retro\20170524_R8_Demo&Retro.pptx,
14113-054,1,24-May-17,SOCOM GO ISP - Release Report for Release 8,RC/BG,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R8\Release Report\doc.book,
14113-055,1,20-Jul-17,SOCOM GO ISP - Release Report for Release 9,RC/BG,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\Releases\R9-Final\Release Report\doc.book,
14113-056,1,05-Jun-17,SOCOM GO ISP - Report for May 2017,BG,WE,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_05-31\body.book,
14113-057,1,07-Jul-17,SOCOM GO ISP - Report for June 2017,BG,BEP,,\\vault\cslt\docs\2014\14113-DoD-SOCOM-14-BAA-RIF-0003-1406\contract_docs\Reports\2017_06-30\body.book,
,,,,,,,,
,,,,,,,,
,,,,,,,,
14121-001,1,10-Feb-15,Solicitation Number: RFI AHS-2014-4112 - RFI Response,PTM/WE,,,\\vault\cslt\docs\2014\14121-AHS-Energy_Management_Database\releases\Compusult_Limited_Response_to_Energy_Management_Database_RFI.pdf,
,,,,,,,,
15002-001,1,08-Mar-15,Management Solution for Digital Images for the Ontario Provincial Police - Proposal,PTM/BOR/LB/RT/BG,,,\cslt\docs\2015\15002-OPP-Management_Solution_for_Digital_Images_for_the_Ontario_Provincial_Police\proposal\project_plan\body.book,
15002-002,1,08-Mar-15,Management Solution for Digital Images for the Ontario Provincial Police - Project Plan,PTM/BOR/LB/RT/BG,,,\cslt\docs\2015\15002-OPP-Management_Solution_for_Digital_Images_for_the_Ontario_Provincial_Police\proposal\project_plan_acutual\body.book,
,,,,,,,,
15003-001,1,02-Mar-15,"SBIPS response, period 1",PTM/RT,,,\cslt\docs\2015\15003-PWGSC-SBIPS\period-1-jan20-mar2-2015\response\releases,
15003-002,10,01-Jun-15,"SBIPS response, Period 2",RT,,,\cslt\docs\2015\15003-PWGSC-SBIPS\period-2-mar3-june1-2015\response\releases,
,,,,,,,,
15003.005-001,1,01-Dec-16,Solution-Based Informatics Professional Services (SBIPS) - Proposal,BP,,,\\vault\cslt\docs\2015\15003-PWGSC-SBIPS\15003.005-SPIPS_Solutions_Based_Information_Professional_Services\proposal\doc.book,
,,,,,,,,
,,,,,,,,
15003.1-001,1,18-Sep-15,"Statistics Canada - 2016 Census Internet Web Applications Volume, Load and Stress Testing - Technical Bid",BOR/BG/LB/DY/BP/WE,,,\\vault\cslt\docs\2015\15003-PWGSC-SBIPS\15003.1-Statistics_Canada_2016_Census_Testing\proposal\Section_I_Technical_Bid\doc.book,
15003.1-002,1,18-Sep-15,"Statistics Canada - 2016 Census Internet Web Applications Volume, Load and Stress Testing - Financial Bid",BOR/RT,,,\\vault\cslt\docs\2015\15003-PWGSC-SBIPS\15003.1-Statistics_Canada_2016_Census_Testing\proposal\Section_II_Financial_Bid\doc.book,
15003.1-003,1,18-Sep-15,"Statistics Canada - 2016 Census Internet Web Applications Volume, Load and Stress Testing - Certifications",WE,,,\\vault\cslt\docs\2015\15003-PWGSC-SBIPS\15003.1-Statistics_Canada_2016_Census_Testing\proposal\Section_III_Certifications\doc.book,
,,,,,,,,
15003.008-001,1,04-Apr-17,SBIPS - Domain 11 - Systems Integration - Solr Smart Search - Section I: Technical Bid,WE/PTM/BOR,,,\\VAULT\cslt\docs\2015\15003-PWGSC-SBIPS\15003.008-SPIPS_Systems_Integration_Solr_Smart_Search\proposal\Sect_I_Technical_Bid\doc.book,
15003.008-002,1,04-Apr-17,SBIPS - Domain 11 - Systems Integration - Solr Smart Search - Section II: Financial Bid,WE/PTM/BOR,,,\\VAULT\cslt\docs\2015\15003-PWGSC-SBIPS\15003.008-SPIPS_Systems_Integration_Solr_Smart_Search\proposal\Sect_II_Financial_Bid\doc.book,
15003.008-003,1,04-Apr-17,SBIPS - Domain 11 - Systems Integration - Solr Smart Search - Section III: Certifications,WE/PTM/BOR,,,\\VAULT\cslt\docs\2015\15003-PWGSC-SBIPS\15003.008-SPIPS_Systems_Integration_Solr_Smart_Search\proposal\Sect_III_Certifications\doc.book,
15003.008-004,1,04-Apr-17,SBIPS - Domain 11 - Systems Integration - Solr Smart Search - Section IV: Additional Information,WE/PTM/BOR,,,\\VAULT\cslt\docs\2015\15003-PWGSC-SBIPS\15003.008-SPIPS_Systems_Integration_Solr_Smart_Search\proposal\Sect_IV_Additional_Information\doc.book,
,,,,,,,,
,,,,,,,,
15057-001,1,08-Jul-15,Nova Scotia Open Data Portal Service Provider (Proposal),BMP,,,\\vault\cslt\docs\2015\15057-NS-RFP_Open_Data_Portal_Service_Provider_for_ICTS-Dept_of_Internal_Services\Proposal\doc.book,
,,,,,,,,
15058-001,1,08-Sep-15,Letter Of Support,CAC,,,\\vault\cslt\docs\2015\15058-OGC_IMIS_IoT_Pilot\ElevationExtension\LetterOfSupport.fm,
,,,,,,,,
15065-001,1,05-Aug-15,Provision of Open Data Information Management Systems - Proposal Submission Form,,,,\vault\cslt\docs\2015\15065-RFP_Provision_of_Open_Data_Information_Management_Systems\proposal\Proposal_Submission_Form.fm,
15065-002,1,05-Aug-15,Provision of Open Data Information Management Systems - Proposer Information Form,,,,\vault\cslt\docs\2015\15065-RFP_Provision_of_Open_Data_Information_Management_Systems\proposal\Proposer_Information_Form.fm,
15065-003,1,05-Aug-15,Provision of Open Data Information Management Systems - Technical Proposal,,,,\vault\cslt\docs\2015\15065-RFP_Provision_of_Open_Data_Information_Management_Systems\proposal\Lot 1\Technical Proposal Form.fm,
15065-004,1,05-Aug-15,Provision of Open Data Information Management Systems - Financial Proposal,,,,\vault\cslt\docs\2015\15065-RFP_Provision_of_Open_Data_Information_Management_Systems\proposal\Lot 2\Financial Proposal Form.fm,
,,,,,,,,
15080-001,1,26-Feb-16,"BCIP 06 - WES (IoT) Sensor Hub & WES Image STOR, First Priority Area - Information Management (IM), Second Priority Area - Safety and Security",BOR,,,\\vault\cslt\docs\2015\15080-PWGSC-BCIP_Call_006\Presentations\BCIP06_Compusult_Feb_26_2016.pptx,
,,,,,,,,
15082-001,1,10-Sep-15,"Overview Presentation of Compusult, WES, Projects and ImageSTOR Provided to RCMP. Meeting Arranged by CFN.",,,,\vault\cslt\docs\2015\15082-RCMP\Presentations\September_10_2015\WES_ImageSTOR.pptx,
15082-002,1,10-Sep-15,"Video of ImageSTOR, WES, Incident_Manager_Provided to RCMP. Meeting Arranged by CFN.",,,,\vault\cslt\docs\2015\15082-RCMP\Videos\WE_ImageSTOR.wmv,
,,,,,,,,
15084-001,1,08-Oct-15,New Brunswick Power - Tool Crib Software Generating Station Technical Bid,,,,\\vault\cslt\docs\2015\15084-NB_Power-Tool_Crib_Software-Point_Lepreau_Generating_Station\proposal\,
,,,,,,,,
15090-001,1,02-Nov-15,Tender for the Development of a Web API for the Housing Assistance Payment,PTM/CIC/RC/RB,,,\cslt\docs\2015\15090-LGMA-Developemt_of_Web_API_for_Housing_Assistance_Payment\proposal\releases\15090-LGMA_Web_API_HAP_Proposal.pdf,
15090-001,2,02-Nov-15,Tender for the Development of a Web API for the Housing Assistance Payment,PTM/CIC/RC/RB,,,\cslt\docs\2015\15090-LGMA-Developemt_of_Web_API_for_Housing_Assistance_Payment\proposal\releases\15090-LGMA_Web_API_HAP_Proposal_v2.pdf,
,,,,,,,,
15092-001,1,11-Dec-15,Proposal for Compusult Participation in the OGC Testbed 12,WE/BOR/RT/BEP/CIC/RC/ML/BG,,,\\vault\cslt\docs\2015\15092-OGC_Testbed_12\proposal\doc.book,
,,,,,,,,
15093-001,1,19-Nov-15,Enhanced Situational Awareness Energy Control Centre Proposal,BOR/PTM/RT/LB/BG/RC/RB/DY/CIC/BEP,,,\\vault\cslt\docs\2015\15093-RFP_2015-62851_Enhanced_Situational_Awareness_Energy_Control_Centre\proposal\doc.book,
,,,,,,,,
15104-001,1,22-Jan-16,BigBlueButton Getting Started,LL,,,\\vault\cslt\docs\2015\15104-Interactive_Web_Broadcasting_Solutions\Getting_Started_Guide\BigBlueButton_GettingStarted.docx,
,,,,,,,,
15111-001,1,15-Dec-17,NATO Core GIS - Teaming Review,BOR,,,\\vault\cslt:\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Teaming\Proposed_Teaming_Arrangement.pptx,
15111-002,1,14-Feb-18,Upgrade Geographical Information Service Increment 3 (Core GIS Incr. 3) - Volume 1 - Bid Administration Package,Team,PTM/WE/BEP,,\\VAULT\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Volume 1 - Bid Administration Package\body.book,
15111-003,1,14-Feb-18,Upgrade Geographical Information Service Increment 3 (Core GIS Incr. 3) - Volume 2 - Price Quotation,Team,LB/RS,,\\VAULT\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Volume 2 - Price Quotation\body.book,
15111-004,1,14-Feb-18,"Upgrade Geographical Information Service Increment 3 (Core GIS Incr. 3) - Volume 3 - Technical Proposal, Part 1 - Engineering Proposal",Team,BOR/WE/BEP,,\\VAULT\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Volume 3 - Technical Proposal Package\Part 1 - Engineering Proposal\vol3_part1.book,
15111-005,1,14-Feb-18,"Upgrade Geographical Information Service Increment 3 (Core GIS Incr. 3) - Volume 3 - Technical Proposal, Part 2 - Management Proposal",Team,PTM/WE,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Volume 3 - Technical Proposal Package\Part 2 - Management Proposal\vol3_part2.book,
15111-006,1,14-Feb-18,"Upgrade Geographical Information Service Increment 3 (Core GIS Incr. 3) - Volume 3 - Technical Proposal, Part 3 - Supportability Proposal",Team,BOR/WE/BEP,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Volume 3 - Technical Proposal Package\Part 3 - Supportability Proposal\vol3_part3.book,
15111-007,1,20-Mar-18,Clarification Requests,Team,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Clarification_Requests\Clarification_Requests.fm,
15111-008,1,14-15 May 18,NATO Core GIS Incr. 3 Demonstration Plan,BOR,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Clarification_Requests\Apr_13_Demo_request\Compusult_Demo_May_14_15_2018.pptx,
15111-009,1,27-Apr-18,Additional Clarification Requests,BOR,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Clarification_Requests\Apr_13_Demo_request\20180427_Additional_Clarification_Requests_Compusult.fm,
15111-010,1,27-Apr-18,Requirements Implementation Schedule (RIS),,,,,
,,,,,,,,
Note: Subsequent releases didn’t include a document number or revision number in the spreadsheet.,BOR,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Clarification_Requests\CSLT_RIS_15115-010.xlsx,,,,
15111-010,2,27-Aug-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\Releases\20180827_NU_SRS-RIS-CO14179GIS.xlsx,
15111-010,3,10-Sep-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\Releases\20180910_NU_SRS_RTM_RIS-CO14179GIS.xlsx,
15111-010,4,23-Sep-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\Releases\20180923_NU_SRS_RTM_RIS-CO14179GIS_with_Notes.xlsx,
15111-010,5,25-Sep-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\Releases\20180925_NU_RIS-CO14179GIS.xlsx,
15111-010,6,28-Sep-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\Releases\20180928_NU_SRS_RIS-CO14179GIS.xlsx,
15111-010,7,11-Oct-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\RIS\Releases\20181011_NU_SRS_RIS-CO14179GIS.xlsx,
15111-010,8,23-Oct-18,Requirements Implementation Schedule (RIS),DY,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\System_Requirements_Specification_SRS\RIS\Releases\20181023_NU_SRS_RIS-CO14179GIS.xlsx,
15111-011,1,27 Apr 18???,Risk Register,BOR,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Proposal\Clarification_Requests\Risk_Register.fm???,
15111-012,1,07-Sep-18,NATO Core GIS Incr. 3 Integrated Logistic Support Plan (ILSP),,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\Integrated_Logistic_Support_Plan_ILSP\Releases\20180907_NU_ILSP-CO14179GIS.pdf,
15111-013,1,11-Sep-18,NATO Core GIS Incr. 3 Project Management Plan (PMP),BOR,,,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\Project_Mgmt_Plan_PMP\Releases\20180911_NU_Project-Mgmt-Plan-CO14179GIS.pdf,
15111-013,2,15-Oct-18,NATO Core GIS Incr. 3 Project Management Plan (PMP),BOR,"WE, BEP, JohnMcD",,\\vault\cslt\docs\2015\15111-NATO_Core_GIS_Increment_3\Baseline_Documents\Project_Mgmt_Plan_PMP\Releases\20181015_NU_ProjectMgmtPlan-CO14179GIS.pdf,
